word,bpe_result,correct_result,gold_suffix,is_correct,verdict,negation,mode
adaawesiiwaanen,adaawesiiwaa | n | en,adaawe + siiwaanen,siiwaanen,False,Distort,Neg,Dub
adaawewaanen,adaawewaa | n | en,adaawe + waanen,waanen,False,Distort,Pos,Dub
adaawesiiwaambaanen,adaawesiiwaa | mbaan | en,adaawe + siiwaambaanen,siiwaambaanen,False,Distort,Neg,DubPrt
adaawewaambaanen,adaawewaa | mbaan | en,adaawe + waambaanen,waambaanen,False,Distort,Pos,DubPrt
adaawesiwaan,adaawesiwaa | n,adaawe + siwaan,siwaan,False,Distort,Neg,Neu
adaaweyaan,adaawey | aan,adaawe + yaan,yaan,False,Distort,Pos,Neu
adaawesiwaambaan,adaawesiwaa | mbaan,adaawe + siwaambaan,siwaambaan,False,Distort,Neg,Prt
adaaweyaambaan,adaawey | aa | mbaan,adaawe + yaambaan,yaambaan,False,Distort,Pos,Prt
adaawesiiwegwen,adaawesii | we | gwen,adaawe + siiwegwen,siiwegwen,False,Distort,Neg,Dub
adaawewegwen,adaawe | we | gwen,adaawe + wegwen,wegwen,False,Distort,Pos,Dub
adaawesiiwegobanen,adaawesii | we | gobanen,adaawe + siiwegobanen,siiwegobanen,False,Distort,Neg,DubPrt
adaawesiiwegibanen,adaawesii | we | gibanen,adaawe + siiwegibanen,siiwegibanen,False,Distort,Neg,DubPrt
adaawewegobanen,adaawe | we | gobanen,adaawe + wegobanen,wegobanen,False,Distort,Pos,DubPrt
adaawewegibanen,adaawe | we | gibanen,adaawe + wegibanen,wegibanen,False,Distort,Pos,DubPrt
adaawesiweg,adaawesi | we | g,adaawe + siweg,siweg,False,Distort,Neg,Neu
adaaweyeg,adaawey | e | g,adaawe + yeg,yeg,False,Distort,Pos,Neu
adaawesiwegoban,adaawesi | we | goban,adaawe + siwegoban,siwegoban,False,Distort,Neg,Prt
adaawesiwegiban,adaawesi | we | giban,adaawe + siwegiban,siwegiban,False,Distort,Neg,Prt
adaaweyegoban,adaawey | e | goban,adaawe + yegoban,yegoban,False,Distort,Pos,Prt
adaaweyegiban,adaawey | e | giban,adaawe + yegiban,yegiban,False,Distort,Pos,Prt
adaawesiiwanen,adaawesii | wan | en,adaawe + siiwanen,siiwanen,False,Distort,Neg,Dub
adaawewanen,adaawe | wan | en,adaawe + wanen,wanen,False,Distort,Pos,Dub
adaawesiiwambanen,adaawesii | w | am | banen,adaawe + siiwambanen,siiwambanen,False,Distort,Neg,DubPrt
adaawewambanen,adaawe | w | am | banen,adaawe + wambanen,wambanen,False,Distort,Pos,DubPrt
adaawesiwan,adaawesi | wan,adaawe + siwan,siwan,False,Distort,Neg,Neu
adaaweyan,adaaweyan,adaawe + yan,yan,False,Erase,Pos,Neu
adaaweyin,adaawey | i | n,adaawe + yin,yin,False,Distort,Pos,Neu
adaawesiwamban,adaawesi | w | am | ban,adaawe + siwamban,siwamban,False,Distort,Neg,Prt
adaaweyamban,adaawey | am | ban,adaawe + yamban,yamban,False,Distort,Pos,Prt
adaawesiinigwen,adaawesii | ni | gwen,adaawe + siinigwen,siinigwen,False,Distort,Neg,Dub
